Country,Region,Y2015Family,Y2016Family,Y2017Family,Y2018Family,Y2019Family,AvgFamily
Iceland,Western Europe,1.40223,1.18326,1.610574007,1.644,1.624,1.492812801
Denmark,Western Europe,1.36058,1.16374,1.551121593,1.59,1.573,1.447688319
Ireland,Western Europe,1.36948,1.16157,1.558231115,1.583,1.553,1.445056223
New Zealand,Australia and New Zealand,1.31967,1.17278,1.548195124,1.601,1.557,1.439729025
Finland,Western Europe,1.31826,1.13464,1.540246725,1.592,1.587,1.434429345
Uzbekistan,Central and Eastern Europe,1.34043,1.1681,1.54896915,1.584,1.529,1.43409983
Norway,Western Europe,1.33095,1.1269,1.53352356,1.582,1.582,1.431074712
Switzerland,Western Europe,1.34951,1.14524,1.516911745,1.549,1.526,1.417332349
Australia,Australia and New Zealand,1.30923,1.10476,1.510041952,1.573,1.548,1.40900639
Spain,Western Europe,1.31379,1.12945,1.532090902,1.538,1.484,1.39946618
Canada,North America,1.32261,1.0961,1.481348991,1.532,1.505,1.387411798
Malta,Western Europe,1.30203,1.09879,1.488411665,1.525,1.52,1.386846333
Mongolia,Eastern Asia,1.3006,1.08983,1.493011236,1.517,1.531,1.386288247
Paraguay,Latin America and Caribbean,1.30477,1.11111,1.50728488,1.522,1.475,1.384032976
Slovakia,Central and Eastern Europe,1.26999,1.08268,1.505059242,1.537,1.504,1.379745848
Sweden,Western Europe,1.28907,1.08764,1.478162169,1.501,1.487,1.368574434
United Kingdom,Western Europe,1.28548,1.08672,1.49646008,1.433,1.538,1.367932016
Lithuania,Central and Eastern Europe,1.25745,1.06411,1.473516107,1.527,1.515,1.367415221
Turkmenistan,Central and Eastern Europe,1.22668,1.03817,1.493149161,1.533,1.538,1.365799832
Austria,Western Europe,1.29704,1.08383,1.459944963,1.504,1.475,1.363962993
Estonia,Central and Eastern Europe,1.22791,1.05163,1.4766711,1.532,1.528,1.36324222
Slovenia,Central and Eastern Europe,1.27385,1.05613,1.452518821,1.506,1.523,1.362299764
Germany,Western Europe,1.29937,1.09774,1.472520351,1.474,1.454,1.35952607
Belgium,Western Europe,1.28566,1.05249,1.462312698,1.483,1.504,1.35749254
Netherlands,Western Europe,1.28017,1.02912,1.428939223,1.488,1.522,1.349645845
Luxembourg,Western Europe,1.21963,1.03999,1.457583666,1.52,1.479,1.343240733
Belarus,Central and Eastern Europe,1.23289,1.04993,1.444945216,1.498,1.465,1.338153043
Russia,Central and Eastern Europe,1.23617,1.05261,1.469282389,1.479,1.452,1.337812478
Italy,Western Europe,1.19777,1.04167,1.444923282,1.501,1.488,1.334672656
Poland,Central and Eastern Europe,1.27948,1.04685,1.44571197,1.448,1.438,1.331608394
Argentina,Latin America and Caribbean,1.24823,1.06612,1.440451145,1.468,1.432,1.330960229
United States,North America,1.24711,1.04782,1.419920564,1.471,1.457,1.328570113
Japan,Eastern Asia,1.25712,1.06054,1.436337829,1.462,1.419,1.326999566
Czech Republic,Central and Eastern Europe,1.20643,1.00793,1.433885217,1.489,1.487,1.324849043
Brazil,Latin America and Caribbean,1.23287,1.03938,1.431306005,1.474,1.439,1.323311201
Venezuela,Latin America and Caribbean,1.25596,1.03302,1.431337595,1.469,1.427,1.323263519
Israel,Middle East and Northern Africa,1.22393,0.99537,1.376289964,1.559,1.455,1.321917993
France,Western Europe,1.26038,1.00508,1.387776852,1.466,1.472,1.31824737
Uruguay,Latin America and Caribbean,1.2089,1.03143,1.412227869,1.459,1.465,1.315311574
Costa Rica,Latin America and Caribbean,1.23788,1.02152,1.416403651,1.459,1.441,1.31516073
Thailand,Southeastern Asia,1.26504,1.04477,1.425792456,1.417,1.409,1.312320491
Colombia,Latin America and Caribbean,1.24018,1.02169,1.402182937,1.439,1.41,1.302610587
Bulgaria,Central and Eastern Europe,1.10614,0.92542,1.434379458,1.515,1.513,1.298787892
Kazakhstan,Central and Eastern Europe,1.12241,0.95544,1.384369016,1.516,1.508,1.297243803
Jamaica,Latin America and Caribbean,1.15102,0.96372,1.368218064,1.493,1.478,1.290791613
Panama,Latin America and Caribbean,1.1985,0.98912,1.373192549,1.438,1.442,1.28816251
Ukraine,Central and Eastern Europe,1.20278,1.01413,1.394537568,1.413,1.39,1.282889514
Dominican Republic,Latin America and Caribbean,1.17202,0.99496,1.402416706,1.441,1.401,1.282279341
Latvia,Central and Eastern Europe,1.09562,0.95025,1.404714942,1.454,1.465,1.273916988
Kyrgyzstan,Central and Eastern Europe,1.15115,0.95434,1.394238591,1.416,1.438,1.270745718
Portugal,Western Europe,1.13935,0.94367,1.367043018,1.429,1.431,1.262012604
South Africa,Sub-Saharan Africa,1.18468,0.96053,1.384788632,1.41,1.351,1.258199726
Hungary,Central and Eastern Europe,1.20215,0.93164,1.343133092,1.401,1.41,1.257584618
Bahrain,Middle East and Northern Africa,1.21624,0.94397,1.323110461,1.366,1.368,1.243464092
Singapore,Southeastern Asia,1.02,0.86758,1.353814363,1.451,1.463,1.231078873
Libya,Middle East and Northern Africa,1.11862,0.95076,1.35756433,1.35,1.303,1.215988866
Chile,Latin America and Caribbean,1.12447,0.90587,1.284024954,1.331,1.369,1.202872991
Bhutan,Southern Asia,1.10395,0.90836,1.340126514,1.335,1.321,1.201687303
Nicaragua,Latin America and Caribbean,1.14184,0.89521,1.28721571,1.319,1.325,1.193653142
Kuwait,Middle East and Northern Africa,1.16594,0.87758,1.259698749,1.301,1.319,1.18464375
Saudi Arabia,Middle East and Northern Africa,1.08393,0.84829,1.286677599,1.331,1.357,1.18137952
Turkey,Middle East and Northern Africa,0.94632,0.87717,1.337753177,1.38,1.36,1.180248635
Qatar,Middle East and Northern Africa,1.0786,0.87964,1.27429688,1.303,1.313,1.169707376
Serbia,Central and Eastern Europe,1.00964,0.81329,1.258189797,1.369,1.383,1.166623959
Ecuador,Latin America and Caribbean,0.99903,0.85974,1.286168814,1.33,1.312,1.157387763
Philippines,Southeastern Asia,1.03516,0.87877,1.253917575,1.312,1.293,1.154569515
Mauritius,Sub-Saharan Africa,0.98521,0.75695,1.20956099,1.387,1.402,1.148144198
Moldova,Central and Eastern Europe,1.01528,0.83132,1.251825571,1.301,1.328,1.145485114
Guatemala,Latin America and Caribbean,1.04356,0.87119,1.255585194,1.268,1.269,1.141467039
Sri Lanka,Southern Asia,1.01905,0.84783,1.259976387,1.314,1.265,1.141171277
Vietnam,Southeastern Asia,0.91226,0.79117,1.277491331,1.365,1.346,1.138384266
Malaysia,Southeastern Asia,1.07023,0.88025,1.284646034,1.258,1.171,1.132825207
Indonesia,Southeastern Asia,1.08708,0.87625,1.274444699,1.215,1.203,1.13115494
Jordan,Middle East and Northern Africa,1.05392,0.86216,1.239088893,1.265,1.225,1.129033779
Botswana,Sub-Saharan Africa,1.10464,0.89186,1.221554995,1.174,1.145,1.107410999
Peru,Latin America and Caribbean,0.97459,0.81255,1.218770385,1.249,1.274,1.105782077
Montenegro,Central and Eastern Europe,0.90557,0.74173,1.238376498,1.279,1.361,1.1051353
Mali,Sub-Saharan Africa,1.03526,0.86333,1.281473398,1.233,1.105,1.10361268
El Salvador,Latin America and Caribbean,1.02507,0.80975,1.182125092,1.231,1.242,1.097989018
Bolivia,Latin America and Caribbean,0.97841,0.83779,1.227619052,1.223,1.209,1.09516381
Mexico,Latin America and Caribbean,0.91451,0.7146,1.21086216,1.252,1.323,1.082994432
Mauritania,Sub-Saharan Africa,0.86908,0.84142,1.27203083,1.245,1.167,1.078906166
Algeria,Middle East and Northern Africa,1.07772,0.83309,1.146217465,1.154,1.16,1.074205493
United Arab Emirates,Middle East and Northern Africa,1.12575,0.87114,1.266410232,0.776,1.31,1.069860046
Uganda,Sub-Saharan Africa,1.13299,0.90981,1.129827738,1.09,1.069,1.066325548
Congo (Kinshasa),Sub-Saharan Africa,1.0012,0.80676,1.229023457,1.136,1.125,1.059596691
Honduras,Latin America and Caribbean,0.95348,0.75596,1.143944979,1.205,1.236,1.058876996
Greece,Western Europe,0.92933,0.75473,1.239414573,1.202,1.156,1.056294915
