Country,Region,Y2015avgGDP,Y2016avgGDP,Y2017avgGDP,Y2018avgGDP,Y2019avgGDP,AvgGDP
Qatar,Middle East and Northern Africa,1.69042,1.82427,1.870765686,1.649,1.684,1.743691137
United Arab Emirates,Middle East and Northern Africa,1.42727,1.57352,1.626343369,2.096,1.503,1.645226674
Luxembourg,Western Europe,1.56391,1.69752,1.741943598,1.576,1.609,1.63767472
Singapore,Southeastern Asia,1.52186,1.64555,1.69227767,1.529,1.572,1.592137534
Kuwait,Middle East and Northern Africa,1.55422,1.61714,1.632952452,1.474,1.5,1.55566249
Norway,Western Europe,1.459,1.57744,1.616463184,1.456,1.488,1.519380637
Switzerland,Western Europe,1.39651,1.52733,1.564979553,1.42,1.452,1.472163911
Ireland,Western Europe,1.33596,1.48341,1.535706639,1.448,1.499,1.460415328
United States,North America,1.39451,1.50796,1.546259284,1.398,1.433,1.455945857
Saudi Arabia,Middle East and Northern Africa,1.39541,1.48953,1.530623555,1.379,1.403,1.439512711
Netherlands,Western Europe,1.32944,1.46468,1.503944635,1.361,1.396,1.411012927
Sweden,Western Europe,1.33171,1.45181,1.494387269,1.355,1.387,1.403981454
Austria,Western Europe,1.33723,1.45038,1.487097263,1.341,1.376,1.398341453
Denmark,Western Europe,1.32548,1.44178,1.482383013,1.351,1.383,1.396728603
Germany,Western Europe,1.32792,1.44787,1.487923384,1.34,1.373,1.395342677
Australia,Australia and New Zealand,1.33358,1.44443,1.484414935,1.34,1.372,1.394884987
Bahrain,Middle East and Northern Africa,1.32376,1.44024,1.488412261,1.338,1.362,1.390482452
Canada,North America,1.32629,1.44015,1.479204416,1.33,1.365,1.388128883
Iceland,Western Europe,1.30232,1.42666,1.48063302,1.343,1.38,1.386522604
Belgium,Western Europe,1.30782,1.42539,1.463780761,1.324,1.356,1.375398152
Finland,Western Europe,1.29025,1.40598,1.443571925,1.305,1.34,1.356960385
France,Western Europe,1.27778,1.39488,1.430923462,1.293,1.324,1.344116692
Japan,Eastern Asia,1.27074,1.38007,1.416915178,1.294,1.327,1.337745036
United Kingdom,Western Europe,1.26637,1.40283,1.44163394,1.244,1.333,1.337566788
New Zealand,Australia and New Zealand,1.25018,1.36066,1.405706048,1.268,1.303,1.31750921
South Korea,Eastern Asia,1.24461,1.35948,1.401678443,1.266,1.301,1.314553689
Italy,Western Europe,1.25114,1.35495,1.395066619,1.264,1.294,1.311831324
Israel,Middle East and Northern Africa,1.22857,1.33766,1.375382423,1.301,1.276,1.303722485
Spain,Western Europe,1.23011,1.34253,1.384397864,1.251,1.286,1.298807573
Malta,Western Europe,1.2074,1.30782,1.343279839,1.27,1.3,1.285699968
Cyprus,Western Europe,1.20813,1.31857,1.355938077,1.229,1.263,1.274927615
Czech Republic,Central and Eastern Europe,1.17898,1.30915,1.352682352,1.233,1.269,1.26856247
Slovenia,Central and Eastern Europe,1.18498,1.29947,1.341205955,1.219,1.258,1.260531191
Slovakia,Central and Eastern Europe,1.16891,1.27973,1.325393558,1.21,1.246,1.246006712
Estonia,Central and Eastern Europe,1.15174,1.27964,1.32087934,1.2,1.237,1.237851868
Lithuania,Central and Eastern Europe,1.14723,1.2692,1.314582348,1.197,1.238,1.23320247
Portugal,Western Europe,1.15991,1.27607,1.315175295,1.188,1.221,1.232031059
Malaysia,Southeastern Asia,1.12486,1.25142,1.29121542,1.161,1.221,1.209899084
Poland,Central and Eastern Europe,1.12555,1.24585,1.291787863,1.176,1.206,1.209037573
Greece,Western Europe,1.15406,1.24886,1.289487481,1.154,1.181,1.205481496
Hungary,Central and Eastern Europe,1.12094,1.24142,1.286011934,1.171,1.201,1.204074387
Russia,Central and Eastern Europe,1.13764,1.23228,1.281778097,1.151,1.183,1.197139619
Kazakhstan,Central and Eastern Europe,1.12254,1.22943,1.28455627,1.143,1.173,1.190505254
Latvia,Central and Eastern Europe,1.11312,1.21788,1.260748625,1.148,1.187,1.185349725
Chile,Latin America and Caribbean,1.10715,1.2167,1.25278461,1.131,1.159,1.173326922
Croatia,Central and Eastern Europe,1.08254,1.18649,1.222556233,1.115,1.155,1.152317247
Turkey,Middle East and Northern Africa,1.06098,1.16492,1.198274374,1.148,1.183,1.151034875
Panama,Latin America and Caribbean,1.06353,1.18306,1.233748436,1.112,1.149,1.148267687
Romania,Central and Eastern Europe,1.04345,1.1697,1.217683911,1.116,1.162,1.141766782
