Country,Region,Y2015HLE,Y2016HLE,Y2017HLE,Y2018HLE,Y2019HLE,AvgLifeExpectancy
Singapore,Southeastern Asia,1.02525,0.94719,0.9494923949,1.008,1.141,1.014186479
Japan,Eastern Asia,0.99111,0.91491,0.9134758711,0.988,1.088,0.9790991742
Spain,Western Europe,0.95562,0.87896,0.8889605999,0.965,1.062,0.95010812
South Korea,Eastern Asia,0.96538,0.88645,0.900214076,0.955,1.036,0.9486088152
Italy,Western Europe,0.95446,0.85102,0.8531443477,0.946,1.039,0.9287248695
Switzerland,Western Europe,0.94143,0.86303,0.8581312895,0.927,1.052,0.9283182579
Iceland,Western Europe,0.94784,0.86733,0.8335521221,0.914,1.026,0.9177444244
France,Western Europe,0.94579,0.83795,0.8444658518,0.908,1.045,0.9162411704
Australia,Australia and New Zealand,0.93156,0.8512,0.8438867927,0.91,1.036,0.9145293585
Cyprus,Western Europe,0.92356,0.8488,0.8447147012,0.909,1.042,0.9136149402
Luxembourg,Western Europe,0.91894,0.84542,0.8450894952,0.896,1.012,0.903489899
Israel,Middle East and Northern Africa,0.91387,0.84917,0.8384039998,0.883,1.029,0.9026888
Canada,North America,0.90563,0.8276,0.8345576525,0.896,1.039,0.9005575305
Sweden,Western Europe,0.91087,0.83121,0.8308751583,0.913,1.009,0.8989910317
New Zealand,Australia and New Zealand,0.90837,0.83096,0.8167597055,0.876,1.026,0.8916179411
Austria,Western Europe,0.89042,0.80565,0.8153284192,0.891,1.016,0.8836796838
Belgium,Western Europe,0.89667,0.81959,0.8180918694,0.894,0.986,0.8828703739
United Kingdom,Western Europe,0.90943,0.80991,0.8053359389,0.888,0.996,0.8817351878
Malta,Western Europe,0.88721,0.80315,0.8219442368,0.884,0.999,0.8790608474
Ireland,Western Europe,0.89533,0.81455,0.8097826242,0.876,0.999,0.8789325248
Netherlands,Western Europe,0.89284,0.81231,0.810696125,0.878,0.999,0.878569225
Greece,Western Europe,0.88213,0.80029,0.8101989031,0.879,0.999,0.8741237806
Finland,Western Europe,0.88911,0.81091,0.8091576695,0.874,0.986,0.8738355339
Norway,Western Europe,0.88521,0.79579,0.796666503,0.861,1.028,0.8733333006
Germany,Western Europe,0.89186,0.81487,0.7989507318,0.861,0.987,0.8707361464
Portugal,Western Europe,0.87519,0.79363,0.7958435416,0.884,0.999,0.8695327083
Denmark,Western Europe,0.87464,0.79504,0.7925655246,0.868,0.996,0.8652491049
Slovenia,Central and Eastern Europe,0.87337,0.79151,0.790828228,0.856,0.953,0.8529416456
Chile,Latin America and Caribbean,0.85857,0.81883,0.8194797039,0.808,0.92,0.8449759408
Costa Rica,Latin America and Caribbean,0.86027,0.76146,0.7595092654,0.817,0.963,0.8322478531
Czech Republic,Central and Eastern Europe,0.84483,0.76376,0.7544440031,0.854,0.92,0.8274068006
United States,North America,0.86179,0.779,0.7742866278,0.819,0.874,0.8216153256
China,Eastern Asia,0.81658,0.73561,0.7414155006,0.799,0.893,0.7971211001
Albania,Central and Eastern Europe,0.81325,0.73007,0.7311597466,0.79,0.874,0.7876959493
Lebanon,Middle East and Northern Africa,0.83947,0.76171,0.7350810766,0.785,0.815,0.7872522153
Uruguay,Latin America and Caribbean,0.8116,0.72183,0.7192168236,0.771,0.891,0.7829293647
Panama,Latin America and Caribbean,0.79661,0.70835,0.7061561346,0.759,0.91,0.7760232269
Slovakia,Central and Eastern Europe,0.78902,0.70367,0.7127329111,0.776,0.881,0.7724845822
Mexico,Latin America and Caribbean,0.81444,0.71143,0.7099789977,0.761,0.861,0.7715697995
Croatia,Central and Eastern Europe,0.78805,0.70524,0.7012885213,0.737,0.914,0.7691157043
Qatar,Middle East and Northern Africa,0.79733,0.71723,0.7100980878,0.748,0.871,0.7687316176
Poland,Central and Eastern Europe,0.77903,0.69058,0.699475348,0.781,0.884,0.7668170696
Bosnia and Herzegovina,Central and Eastern Europe,0.79081,0.70766,0.7051863074,0.758,0.845,0.7613312615
Argentina,Latin America and Caribbean,0.78723,0.69711,0.6951370835,0.744,0.881,0.7608954167
Ecuador,Latin America and Caribbean,0.79075,0.68613,0.6856362224,0.736,0.868,0.7533032445
United Arab Emirates,Middle East and Northern Africa,0.80925,0.72993,0.7267982364,0.67,0.825,0.7521956473
Estonia,Central and Eastern Europe,0.77361,0.68098,0.6951683164,0.737,0.874,0.7521516633
Hungary,Central and Eastern Europe,0.75905,0.67608,0.6877634525,0.732,0.828,0.7365786905
Romania,Central and Eastern Europe,0.7689,0.67602,0.6851583123,0.726,0.825,0.7362156625
Bulgaria,Central and Eastern Europe,0.76649,0.67806,0.7082176805,0.712,0.815,0.7359535361
Montenegro,Central and Eastern Europe,0.72521,0.63533,0.6674646735,0.729,0.871,0.7256009347
Bahrain,Middle East and Northern Africa,0.74716,0.65696,0.6531330347,0.698,0.871,0.7252506069
Vietnam,Southeastern Asia,0.74676,0.66157,0.6521689892,0.702,0.851,0.7226997978
Serbia,Central and Eastern Europe,0.74836,0.6458,0.6507846713,0.685,0.854,0.7167889343
Nicaragua,Latin America and Caribbean,0.74314,0.65213,0.6530959606,0.7,0.835,0.7166731921
Thailand,Southeastern Asia,0.7385,0.64915,0.6472390294,0.707,0.828,0.7139778059
Lithuania,Central and Eastern Europe,0.73128,0.64674,0.6289499402,0.716,0.818,0.708193988
Peru,Latin America and Caribbean,0.73017,0.62994,0.6301661134,0.674,0.854,0.7036552227
Turkey,Middle East and Northern Africa,0.73172,0.64718,0.6376056075,0.686,0.808,0.7021011215
Belarus,Central and Eastern Europe,0.73608,0.63104,0.6377142668,0.7,0.789,0.6987668534
Mauritius,Sub-Saharan Africa,0.7095,0.66189,0.638007462,0.684,0.798,0.6982794924
Armenia,Central and Eastern Europe,0.7299,0.64083,0.637524426,0.666,0.815,0.6978508852
Latvia,Central and Eastern Europe,0.72437,0.63952,0.6385669708,0.671,0.812,0.6970913942
Kuwait,Middle East and Northern Africa,0.72492,0.63569,0.6321057081,0.675,0.808,0.6951431416
Malaysia,Southeastern Asia,0.72394,0.62366,0.6187844276,0.669,0.828,0.6926768855
Sri Lanka,Southern Asia,0.70806,0.62007,0.6251308322,0.672,0.831,0.6912521664
Iran,Middle East and Northern Africa,0.69805,0.64232,0.6393331885,0.691,0.785,0.6911406377
Tunisia,Middle East and Northern Africa,0.73793,0.59577,0.613212049,0.69,0.815,0.6903824098
Jamaica,Latin America and Caribbean,0.68741,0.59469,0.6410223842,0.693,0.831,0.6894244768
Venezuela,Latin America and Caribbean,0.72052,0.61904,0.617144227,0.657,0.805,0.6837408454
Georgia,Central and Eastern Europe,0.72926,0.64035,0.6495469809,0.643,0.752,0.6828313962
Brazil,Latin America and Caribbean,0.69702,0.61415,0.6165523529,0.675,0.802,0.6809444706
Jordan,Middle East and Northern Africa,0.69639,0.60712,0.6045900583,0.645,0.815,0.6736200117
Colombia,Latin America and Caribbean,0.69077,0.59659,0.5950279236,0.635,0.841,0.6716775847
Saudi Arabia,Middle East and Northern Africa,0.72025,0.59267,0.5901483297,0.633,0.795,0.6662136659
Algeria,Middle East and Northern Africa,0.61766,0.61804,0.6175846457,0.687,0.785,0.6650569291
